TIC ID,Period (days),Predicted Mass (M_Earth),Stellar Teff (K),Stellar Radius (R_Sun),Stellar Mass (M_Sun),Stellar log(g) (cm/s2),Stellar Distance (pc),TESS mag
100097716.00 ,3.0002084,317,5767,1.41,1.03,4.15,366.824,11.3534
183593642.00 ,1.037336694,19.26,6049,1.316499949,1.13,4.25,313.032,10.9767
369336146.00 ,5.76946,77.71,5499,1.6,0.96,4.01,835.557,13.0524
220016044.00 ,0.939966444,35.65,6300.3,2.546499968,1.24,3.72,480.322,10.3987
321982642.00 ,9.10408666,317,5467,1.20905,0.96,4.26,579.028,12.8895
80432617.00 ,16.45209,56.08,5573,1.85,0.98,3.89,715.834,12.3409
13023738.00 ,8.0635,317,5657,1.71,1,3.97,646.707,12.2524
144276942.00 ,1.535165155,37.69,4215,0.744572997,0.64,4.59,123.083,11.9699
305048116.00 ,7.11686,39.94,5692,1.03,1.01,4.41,451.998,12.5633
262530780.00 ,8.22388,104.8,5177,0.99,0.88,4.39,440.102,12.9465
47425697.00 ,0.49393,10.03,6219.7,1.33,,,265.729,10.4913
118586896.00 ,12.11028,317,5808,1.29,1.04,4.23,821.517,13.2642
251878904.00 ,1.702577727,102.06,5504,1.27966,0.97,4.21,841.958,13.5477
9033144.00 ,4.71502,317,5756.9,1.2,1.09,3.9,157.667,9.74346
77031413.00 ,1.38665,317,5444,0.93,0.95,4.48,233.586,11.4996
175482273.00 ,5.463682198,79.07,,1,,,126.36,9.1692
251855940.00 ,4.046292408,317,5805,1.05486,1.04,4.41,748.227,13.5134
156016136.00 ,3.48139,37.73,5389,0.91,0.94,4.49,383.318,12.6635
441075486.00 ,1.1202752,317,5769.7,0.99,,4.42,340.037,12.0312
9032368.00 ,1.632,63.43,5997,1.11,1.11,4.39,741.257,13.2889
183675732.00 ,5.481186063,91.04,5719,1.28194,1.02,4.23,702.626,12.9998
280097543.00 ,9.454644721,98.55,5001.6,3.273930073,,,396.213,10.4471
144301273.00 ,2.750991539,106.48,5317,1.071140051,0.92,4.34,398.356,12.4502
139285736.00 ,1.55028,317,5039.5,0.87,0.77,,244.271,11.9969
20892672.00 ,3.10926,66.94,5894,1.18,,4.32,629.792,13.105
220396259.00 ,0.91677,9.61,5825,1.71,1.07,4.04,231.803,9.9124
100014359.00 ,0.504539765,112.14,5227,1,,,,13.5029
207084429.00 ,4.89577,10.97,5883,1.77,1.13,,75.5476,7.1995
229091748.00 ,0.4568,36.52,5777,1.03,1.03,4.35,506.62,12.7226
167418898.00 ,10.98036,317,5951,1.27,,,204.207,10.2401
155995204.00 ,9.30734,317,5819,1.35,1.06,4.34,958.366,13.5281
300810086.00 ,0.66807198,50.99,5159,3.77481,,,262.782,9.0567
238059180.00 ,5.1119789,70.41,8562,2.67,2.13,3.91,627.07,10.0139
92359850.00 ,4.155,85.3,6270,1.57,1.256,4.14,218.294,9.65521
422655579.00 ,2.903684342,317,6059,2.143249989,1.18,3.92334,362.715,10.1638
